01045133,Te Hikutu,P? te Aroha,"824 SH 12, Whirinaki",,,,,,,
01045134,Te M?hurehure,M?huri,"154 Ramsay Road, T?heke",,,,,,,
01045135,Te M?hurehure,Moehau,"Mission Oak Road, Waim? Valley",,,,,,,
01045136,Te M?hurehure,Motukiore,"651 Motukiore Road, H?reke",,,,,,,
01045137,Te M?hurehure,?t?tara,"Ot?tara Marae Road, Waim?",,,,,,,
01045138,Te M?hurehure,T?heke,"3184 SH 12, T?heke",,,,,,,
01045139,Te M?hurehure,Tuhirangi,"Waim? School Road, Waim?",,,,,,,
01045140,Te Ngahengahe,Mokonui?rangi,"1627 H?reke Road, Maraeroa",,,,,,,
01045141,Te Ngahengahe,Motukiore,"651 Motukiore Road, H?reke",,,,,,,
01045142,Te Ngahengahe,Rangatahi,"1560 H?reke Road, Maraeroa",,,,,,,
01045143,Te Pouk?,K?k?huia (?m?pere),"47 Akiha Street, ?m?pere",,,,,,,
01045144,Te Pouk?,P?kanae,"200 SH 12, ?pononi",,,,,,,
01045145,Te Pouk?,Waiwhatawhata (Aotea),"8098 SH 12, Waiwhatawhata",,,,,,,
01045146,Te Wh?nau Whero,M?tai Aranui,"Wikaira Road, Whirinaki",,,,,,,
01045147,Te Wh?nau Whero,M?ria,"Whirinaki School Road, Whirinaki",,,,,,,
01045148,Te Wh?nau Whero,P? te Aroha,"824 SH 12, Whirinaki",,,,,,,
01045149,Ng?i T?wake,Tauwhara,"140 Whakataha Road, Waimate North",,,,,,,
01045150,Ng?ti Hineira,Parawhenua,"Te Ahuahu Road, Te Ahuahu",,,,,,,
01045151,Ng?ti Hineira,R?whitiroa (Te Ahuahu),"444 SH 1, Te Ahuahu",,,,,,,
01045152,Ng?ti Hineira,Tauwhara,"140 Whakataha Road, Waimate North",,,,,,,
01045153,Ng?ti Kawa,Orom?hoe,"Porotu Road, Orom?hoe",,,,,,,
01045154,Ng?ti Kawa,Te Tii Waitangi (Lower marae),"Te Karuwha Parade, Paihia",,,,,,,
01045155,Ng?ti Kawa,Waitangi National (Upper marae),"Tau Henare Drive, Waitangi",,,,,,,
01045156,Ng?ti Kiriahi,Ng?wh?,"5748 SH 12, Ng?wh?",,,,,,,
01045157,Ng?ti Korohue,Parawhenua,"Te Ahuahu Road, Te Ahuahu",,,,,,,
01045158,Ng?ti Kura,M?tauri (Te T?pui),"60 T?pui Road, M?tauri Bay",,,,,,,
01045159,Ng?ti Mau,Ng?wh?,"5748 SH 12, Ng?wh?",,,,,,,
01045160,Ng?ti Mau,Wharengaere,"44 Wharengaere Road, Purerua Peninsular",,,,,,,
01045161,Ng?ti Miru,M?tauri (Te T?pui),"60 T?pui Road, M?tauri Bay",,,,,,,
01045162,Ngati Moko,Waitangi National (Upper marae),"Tau Henare Drive, Waitangi",,,,,,,
01045163,Ng?ti R?hiri,Orom?hoe,"Porotu Road, Orom?hoe",,,,,,,
01045164,Ng?ti R?hiri,Te Tii Waitangi (Lower marae),"Te Karuwha Parade, Paihia",,,,,,,
01045165,Ng?ti R?hiri,Waitangi National (Upper marae),"Tau Henare Drive, Waitangi",,,,,,,
01045166,Ng?ti Rangi,Ng?wh?,"5748 SH 12, Ng?wh?",,,,,,,
01045167,Ng?ti R?hia,Hiruh?rama Hou,"Te Tii Road Extension, Te Tii",,,,,,,
01045168,Ng?ti R?hia,M?toa,"K?whai Road, Kerikeri",,,,,,,
01045169,Ng?ti R?hia,T?kou,"Otaha Road, T?kou Bay",,,,,,,
01045170,Ng?ti R?hia,Tauwhara,"140 Whakataha Road, Waimate North",,,,,,,
01045171,Ng?ti R?hia,Whitiora,"Te Tii Road, Te Tii",,,,,,,
01045172,Ng?ti Tautahi,T?kou,"Otaha Road, T?kou Bay",,,,,,,
01045173,Ng?ti Tawake ki te Tuawhenua,Tauwhara,"140 Whakataha Road, Waimate North",,,,,,,
01045174,Ng?ti Torehina,Wharengaere,"44 Wharengaere Road, Purerua Peninsular",,,,,,,
01045175,Ng?ti T?pango,T?kou,"Otaha Road, T?kou Bay",,,,,,,
01045176,Ng?ti Whakaeke,M?toa,"K?whai Road, Kerikeri",,,,,,,
01045177,Ng?ti Whakaeke,T?kou,"Otaha Road, T?kou Bay",,,,,,,
01045178,Te Kapotai,Kororareka,"Longstaff Road, Russell",,,,,,,
01045179,Te Kapotai,R?whitiroa (Te Ahuahu),"444 SH 1, Te Ahuahu",,,,,,,
01045180,Te M?hurehure,Te Raukura,"2530 SH12, Waim?",,,,,,,
01045181,Te Popoto,R?whitiroa (Te Ahuahu),"444 SH 1, Te Ahuahu",,,,,,,
01045182,Te Uri Hoatau,Ng?wh?,"5748 SH 12, Ng?wh?",,,,,,,
01045183,Te Uri Taniwha,Ng?wh?,"5748 SH 12, Ng?wh?",,,,,,,
01045184,Te Uri Taniwha,Parawhenua,"Te Ahuahu Road, Te Ahuahu",,,,,,,
01045185,Te Uri Taniwha,R?whitiroa (Te Ahuahu),"444 SH 1, Te Ahuahu",,,,,,,
01045186,Te Whanauwhero,Parawhenua,"Te Ahuahu Road, Te Ahuahu",,,,,,,
01045187,Wh?nautara,Tauwhara,"140 Whakataha Road, Waimate North",,,,,,,
01045188,Ng?ti Kuta,Te R?whiti (Omakiwi),"221 R?whiti Road, R?whiti",,,,,,,
01045189,Ng?ti Manu,K?retu,"652 K?retu Road, K?retu",,,,,,,
01045190,Ng?ti Manu,P?karu-ki te Rangi,"Pakaru Road, K?retu",,,,,,,
01045191,Ng?ti Pare,Waikare (Te T?ruki),"1690 Waikare Road, Waikare",,,,,,,
01045192,Patukeha,Kaingahoa (R?whiti),"243 R?whiti Road, R?whiti",,,,,,,
01045193,Patukeha,Te R?whiti (Omakiwi),"221 R?whiti Road, R?whiti",,,,,,,
01045194,Te Kapotai,Kororareka,"Longstaff Road, Russell",,,,,,,
01045195,Te Kapotai,Waih?h?,Waikare,,,,,,,
01045196,Te Kapotai,Waikare (Te T?ruki),"1690 Waikare Road, Waikare",,,,,,,
01045197,Te Rauwera,Te Rauwera,Kawakawa,,,,,,,
01045198,Te Uri Karaka,K?retu,"652 K?retu Road, K?retu",,,,,,,
01045199,Te Uri Ongaonga,Waimangaro,"Lonely Valley, Paihia",,,,,,,
01045200,Ng?ti Hine,Horomanga,"Davis Road, Moerewa",,,,,,,
01045201,Ng?ti Hine,Kaikou,"Lovatts Road, Matawaia",,,,,,,
01045202,Ng?ti Hine,Kawiti,"Waiomio Road, Waiomio",,,,,,,
01045203,Ng?ti Hine,Matawaia,"1888 Matawaia Maromako Road, Matawaia",,,,,,,
01045204,Ng?ti Hine,Maung?rongo,"689 Mangak?hia Road, Porot?",,,,,,,
01045205,Ng?ti Hine,Miria,"SH 1, Waiomio",,,,,,,
01045206,Ng?ti Hine,Mohinui,"Waiomio Road, Waiomio",,,,,,,
01045207,Ng?ti Hine,M?tatau,"Henare Road, M?tatau",,,,,,,
01045208,Ng?ti Hine,?tiria,"Marae Road, ?tiria",,,,,,,
01045209,Ng?ti Hine,Parakao,"2909 Mangak?hia Road, Parakao",,,,,,,
01045210,Ng?ti Hine,Tau Henare,"3256 P?p?wai Road, P?p?wai",,,,,,,
01045211,Ng?ti Hine,Te Rito,"1869 Ng?pipito Road, Kawiti",,,,,,,
01045212,Ng?ti Hine,Tere Awatea,"Ngapipito Road, Orauta",,,,,,,
01045213,Ng?ti Kahu o Torongare,Mohinui,"Waiomio Road, Waiomio",,,,,,,
01045214,Ng?ti K?paki,?tiria,"Marae Road, ?tiria",,,,,,,
01045215,Ng?ti Ng?herehere,Matawaia,"1888 Matawaia Maromako Road, Matawaia",,,,,,,
01045216,Ng?ti Te Ara,?tiria,"Marae Road, ?tiria",,,,,,,
01045217,Ng?ti Te T?wera,M?tatau,"Henare Road, M?tatau",,,,,,,
01045218,Te Kau i Mua,Matawaia,"1888 Matawaia Maromako Road, Matawaia",,,,,,,
01045219,Te Orewai,Tau Henare,"3256 P?p?wai Road, P?p?wai",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
